Invoice Date,Product,Region,Retailer,Sales Method,State,Price per Unit,Total Sales,Units Sold
2020-01-01,Men's Street Footwear,Northeast,Foot Locker,In-store,New York,50,6000,120
2020-01-02,Men's Athletic Footwear,Northeast,Foot Locker,In-store,New York,50,5000,100
2020-01-03,Women's Street Footwear,Northeast,Foot Locker,In-store,New York,40,4000,100
2020-01-04,Women's Athletic Footwear,Northeast,Foot Locker,In-store,New York,45,3825,85
2020-01-05,Men's Apparel,Northeast,Foot Locker,In-store,New York,60,5400,90
2020-01-06,Women's Apparel,Northeast,Foot Locker,In-store,New York,50,5000,100
2020-01-07,Men's Street Footwear,Northeast,Foot Locker,In-store,New York,50,6250,125
2020-01-08,Men's Athletic Footwear,Northeast,Foot Locker,Outlet,New York,50,4500,90
2020-01-09,Women's Street Footwear,Northeast,Foot Locker,Outlet,New York,40,3800,95
2020-01-10,Women's Athletic Footwear,Northeast,Foot Locker,Outlet,New York,45,3713,83
2020-01-11,Men's Apparel,Northeast,Foot Locker,Outlet,New York,60,5400,90
2020-01-12,Women's Apparel,Northeast,Foot Locker,Outlet,New York,50,5000,100
2020-01-13,Men's Street Footwear,Northeast,Foot Locker,Outlet,New York,50,6100,122
2020-01-14,Men's Athletic Footwear,Northeast,Foot Locker,Outlet,New York,50,4625,93
2020-01-15,Women's Street Footwear,Northeast,Foot Locker,Outlet,New York,40,3800,95
2020-01-16,Women's Athletic Footwear,Northeast,Foot Locker,Outlet,New York,45,3600,80
2020-01-17,Men's Apparel,Northeast,Foot Locker,Outlet,New York,60,5100,85
2020-01-18,Women's Apparel,Northeast,Foot Locker,Outlet,New York,50,4750,95
2020-01-19,Men's Street Footwear,Northeast,Foot Locker,Outlet,New York,50,6000,120
2020-01-20,Men's Athletic Footwear,Northeast,Foot Locker,Outlet,New York,50,4500,90
2020-01-21,Women's Street Footwear,Northeast,Foot Locker,Outlet,New York,40,3600,90
2020-01-22,Women's Athletic Footwear,Northeast,Foot Locker,Outlet,New York,45,3713,83
2020-01-23,Men's Apparel,Northeast,Foot Locker,Outlet,New York,60,4950,83
2020-01-24,Women's Apparel,Northeast,Foot Locker,Outlet,New York,50,4750,95
2020-01-25,Men's Street Footwear,Northeast,Foot Locker,Outlet,New York,60,7320,122
2020-01-26,Men's Athletic Footwear,Northeast,Foot Locker,Outlet,New York,55,5088,93
2020-01-27,Women's Street Footwear,Northeast,Foot Locker,Outlet,New York,50,4500,90
2020-01-28,Women's Athletic Footwear,Northeast,Foot Locker,Outlet,New York,50,4250,85
2020-01-29,Men's Apparel,Northeast,Foot Locker,Outlet,New York,60,5250,88
2020-01-30,Women's Apparel,Northeast,Foot Locker,Outlet,New York,65,6500,100
2020-01-31,Men's Street Footwear,Northeast,Foot Locker,Outlet,New York,60,7500,125
2020-02-01,Men's Athletic Footwear,Northeast,Foot Locker,Outlet,New York,55,5500,100
2020-02-02,Women's Street Footwear,Northeast,Foot Locker,Outlet,New York,50,4625,93
2020-02-03,Women's Athletic Footwear,Northeast,Foot Locker,Outlet,New York,50,4500,90
2020-02-04,Men's Apparel,Northeast,Foot Locker,Outlet,New York,60,5400,90
2020-02-05,Women's Apparel,Northeast,Foot Locker,Outlet,New York,65,6825,105
2020-02-06,Men's Street Footwear,Northeast,Foot Locker,Outlet,New York,60,7650,128
2020-02-07,Men's Athletic Footwear,Northeast,Foot Locker,Outlet,New York,55,5638,103
2020-02-08,Women's Street Footwear,Northeast,Foot Locker,Outlet,New York,50,4750,95
2020-02-09,Women's Athletic Footwear,Northeast,Foot Locker,Outlet,New York,50,4500,90
2020-02-10,Men's Apparel,Northeast,Foot Locker,Outlet,New York,60,5550,93
2020-02-11,Women's Apparel,Northeast,Foot Locker,Outlet,New York,65,7150,110
2020-02-12,Men's Street Footwear,Northeast,Foot Locker,Outlet,New York,60,7500,125
2020-02-13,Men's Athletic Footwear,Northeast,Foot Locker,Outlet,New York,55,5638,103
2020-02-14,Women's Street Footwear,Northeast,Foot Locker,Outlet,New York,50,4750,95
2020-02-15,Women's Athletic Footwear,Northeast,Foot Locker,Outlet,New York,50,4625,93
2020-02-16,Men's Apparel,Northeast,Walmart,Outlet,New York,60,5400,90
2020-02-17,Women's Apparel,Northeast,Walmart,Outlet,New York,65,6988,108
2020-02-18,Men's Street Footwear,Northeast,Walmart,Outlet,New York,60,7200,120
2020-02-19,Men's Athletic Footwear,Northeast,Walmart,Outlet,New York,55,5500,100
2020-02-20,Women's Street Footwear,Northeast,Walmart,Outlet,New York,50,4625,93
2020-02-21,Women's Athletic Footwear,Northeast,Walmart,Outlet,New York,50,4500,90
2020-02-22,Men's Apparel,Northeast,Walmart,Outlet,New York,60,5400,90
2020-02-23,Women's Apparel,Northeast,Walmart,Outlet,New York,65,6500,100
2020-02-24,Men's Apparel,Northeast,Walmart,Outlet,New York,65,5688,88
2020-02-25,Women's Apparel,Northeast,Walmart,Outlet,New York,70,7000,100
2020-02-26,Men's Street Footwear,Northeast,Walmart,Outlet,New York,65,7475,115
2020-02-27,Men's Athletic Footwear,Northeast,Walmart,Outlet,New York,55,5363,98
2020-02-28,Women's Street Footwear,Northeast,Walmart,Outlet,New York,55,5060,92
2020-02-29,Women's Athletic Footwear,Northeast,Walmart,Outlet,New York,55,4950,90
2020-03-01,Men's Apparel,Northeast,Walmart,Outlet,New York,65,5688,88
2020-03-02,Women's Apparel,Northeast,Walmart,Outlet,New York,70,6825,98
2020-03-03,Men's Street Footwear,Northeast,Walmart,Outlet,New York,65,7800,120
2020-03-04,Men's Athletic Footwear,Northeast,Walmart,Outlet,New York,55,5500,100
2020-03-05,Women's Street Footwear,Northeast,Walmart,Outlet,New York,55,5225,95
2020-03-06,Women's Athletic Footwear,Northeast,Walmart,Outlet,New York,55,4950,90
2020-03-07,Men's Apparel,Northeast,Walmart,Outlet,New York,65,5850,90
2020-03-08,Women's Apparel,Northeast,Walmart,Outlet,New York,70,7000,100
2020-03-09,Men's Street Footwear,Northeast,Sports Direct,Outlet,New York,25,2250,90
2020-03-10,Men's Athletic Footwear,Northeast,Sports Direct,Outlet,New York,35,3150,90
2020-03-11,Women's Street Footwear,Northeast,Sports Direct,Outlet,New York,35,2450,70
2020-03-12,Women's Athletic Footwear,Northeast,Sports Direct,Outlet,New York,35,2450,70
2020-03-13,Men's Apparel,South,Sports Direct,Outlet,Texas,40,2200,55
2020-03-14,Women's Apparel,South,Sports Direct,Outlet,Texas,35,2450,70
2020-03-15,Men's Street Footwear,South,Sports Direct,Outlet,Texas,25,2125,85
2020-03-16,Men's Athletic Footwear,South,Sports Direct,Outlet,Texas,35,2975,85
2020-03-17,Women's Street Footwear,South,Sports Direct,Outlet,Texas,35,2363,68
2020-03-18,Women's Athletic Footwear,South,Sports Direct,Outlet,Texas,35,2188,63
2020-03-19,Men's Apparel,South,Sports Direct,Outlet,Texas,40,2000,50
2020-03-20,Women's Apparel,South,Sports Direct,Outlet,Texas,35,2450,70
2020-03-21,Men's Street Footwear,South,Sports Direct,Outlet,Texas,30,2625,88
2020-03-22,Men's Athletic Footwear,South,Sports Direct,Outlet,Texas,40,3500,88
2020-03-23,Women's Street Footwear,South,Sports Direct,Outlet,Texas,35,2450,70
2020-03-24,Women's Athletic Footwear,South,Sports Direct,Outlet,Texas,40,2400,60
2020-03-25,Men's Apparel,South,Sports Direct,Outlet,Texas,45,2250,50
2020-03-26,Women's Apparel,South,Sports Direct,Outlet,Texas,40,2600,65
2020-03-27,Men's Street Footwear,South,Sports Direct,Outlet,Texas,30,2700,90
2020-03-28,Men's Athletic Footwear,South,Sports Direct,Outlet,Texas,40,3600,90
2020-03-29,Women's Street Footwear,South,Sports Direct,Outlet,Texas,35,2538,73
2020-03-30,Women's Athletic Footwear,South,Sports Direct,Outlet,Texas,40,2500,63
2020-03-31,Men's Apparel,South,Walmart,Outlet,Texas,45,2363,53
2020-04-01,Women's Apparel,South,Walmart,Outlet,Texas,40,3200,80
2020-04-02,Men's Street Footwear,South,Walmart,Outlet,Texas,30,2775,93
2020-04-03,Men's Athletic Footwear,South,Walmart,Outlet,Texas,40,3700,93
2020-04-04,Women's Street Footwear,South,Walmart,Outlet,Texas,35,2713,78
2020-04-05,Women's Athletic Footwear,South,Walmart,Outlet,Texas,40,2800,70
2020-04-06,Men's Apparel,South,Walmart,Outlet,Texas,45,2700,60
2020-04-07,Women's Apparel,South,Walmart,Outlet,Texas,40,3800,95
2020-04-08,Men's Street Footwear,South,Walmart,Outlet,Texas,40,3800,95
2020-04-09,Men's Athletic Footwear,South,Walmart,Outlet,Texas,45,4275,95
2020-04-10,Women's Street Footwear,South,Walmart,Outlet,Texas,40,3200,80
2020-04-11,Women's Athletic Footwear,South,Walmart,Outlet,Texas,40,3000,75
2020-04-12,Men's Apparel,South,Walmart,Outlet,Texas,45,2925,65
2020-04-13,Women's Apparel,South,Walmart,Outlet,Texas,50,5000,100
2020-04-14,Men's Street Footwear,South,Walmart,Outlet,Texas,40,3800,95
2020-04-15,Men's Athletic Footwear,South,Walmart,Outlet,Texas,45,4275,95
2020-04-16,Women's Street Footwear,South,Walmart,Outlet,Texas,40,4400,110
2020-04-17,Women's Athletic Footwear,South,Walmart,Outlet,Texas,40,2800,70
2020-04-18,Men's Apparel,South,Walmart,Outlet,Texas,45,3150,70
2020-04-19,Women's Apparel,South,Walmart,Outlet,Texas,50,4875,98
2020-04-20,Men's Street Footwear,South,Walmart,Outlet,Texas,40,3700,93
2020-04-21,Men's Athletic Footwear,South,Walmart,Outlet,Texas,45,4163,93
2020-04-22,Women's Street Footwear,South,Walmart,Outlet,Texas,40,4400,110
2020-04-23,Women's Athletic Footwear,South,Walmart,Outlet,Texas,40,2600,65
2020-04-24,Men's Apparel,South,Walmart,Outlet,Texas,45,2925,65
2020-04-25,Women's Apparel,South,Walmart,Outlet,Texas,50,4500,90
2020-04-26,Men's Street Footwear,South,Walmart,Outlet,Texas,45,3825,85
2020-04-27,Men's Athletic Footwear,South,Walmart,Outlet,Texas,45,3825,85
2020-04-28,Women's Street Footwear,South,Walmart,Outlet,Texas,50,4500,90
2020-04-29,Women's Athletic Footwear,South,Walmart,Outlet,Texas,50,3125,63
2020-04-30,Men's Apparel,South,Walmart,Outlet,Texas,45,2813,63
